iter	RMSE
256	0.4486717994
257	0.4484858298
258	0.4480918634
259	0.447914406
260	0.4475827055
261	0.4472510775
262	0.4469309905
263	0.4465539797
264	0.4463417013
265	0.4460873296
266	0.4457091973
267	0.4454266938
268	0.4451152899
269	0.4447714412
270	0.4445089296
271	0.4443286563
272	0.4440587773
273	0.4437660164
274	0.4434192747
275	0.4431054716
276	0.4428296662
277	0.4426182038
278	0.4423418748
279	0.4420915078
280	0.4418464494
281	0.4416134221
282	0.4412601581
283	0.4409634896
284	0.440685813
285	0.4403644684
286	0.4400903097
287	0.4398606727
288	0.439652254
289	0.4393908265
290	0.4391548415
291	0.4389796441
292	0.4385687358
293	0.4383723739
294	0.4381597336
295	0.4379000747
296	0.4377284936
297	0.4374244392
298	0.4372776404
299	0.4370557876
300	0.436528678
301	0.4363291395
302	0.4361420522
303	0.435928242
304	0.4354532624
305	0.4350568122
306	0.4348337603
307	0.4346454525
308	0.4344133533
309	0.434143102
310	0.4338888543
311	0.4337263295
312	0.4334158356
313	0.4331979966
314	0.4330663099
315	0.4327454735
316	0.4323872193
317	0.4320934428
318	0.4318311164
319	0.4316043796
320	0.4313383305
321	0.4309793516
322	0.4307525001
323	0.4305567519
324	0.4303372337
325	0.4301357654
326	0.4299231586
327	0.4296505919
328	0.429450277
329	0.4293174183
330	0.4291376185
331	0.428910776
332	0.4285724342
333	0.4283023626
334	0.4281086123
335	0.4278110038
336	0.4275327336
337	0.4273271012
338	0.4271267656
339	0.4269960564
340	0.4268048199
341	0.4266541091
342	0.4265337122
343	0.4262906902
344	0.4260119464
345	0.4258255298
346	0.4255392282
347	0.4253277526
348	0.4250943125
349	0.4248125195
350	0.4245788582
351	0.4243594215
352	0.4241503978
353	0.4238574098
354	0.4235380176
355	0.4233776212
356	0.423162877
357	0.4228152316
358	0.4226884728
359	0.4225006371
360	0.4223273814
361	0.4221835522
362	0.4219790809
363	0.4218025384
364	0.4216846686
365	0.4214847635
366	0.4213220463
367	0.421021454
368	0.4208534724
369	0.4207168636
370	0.4205425018
371	0.4202820956
372	0.4200668849
373	0.4198612307
374	0.419765158
375	0.4194710205
376	0.4192714236
377	0.4189896653
378	0.4188332713
379	0.4185756927
380	0.4184347859
381	0.4182070988
382	0.4179494161
383	0.4177920272
384	0.4176585341
385	0.4174886106
386	0.4173656486
387	0.4172160648
388	0.4168898884
389	0.4167060587
390	0.4165263195
391	0.4163538161
392	0.4160648988
393	0.4158863678
394	0.4157951273
395	0.4155500485
396	0.4154594795
397	0.415177515
398	0.4150082676
399	0.4148640446
400	0.4147117765
401	0.4145522278
402	0.414436376
403	0.4142999157
404	0.414101702
405	0.4139109075
406	0.4137929701
407	0.4135319235
408	0.4133318043
409	0.4132141561
410	0.4130244691
411	0.4128411316
412	0.4126216128
413	0.4124096321
414	0.4122859677
415	0.4120373296
416	0.4119071349
417	0.4117772155
418	0.4116034515
419	0.4114211102
420	0.4112282798
421	0.4111137426
422	0.4109527974
423	0.4108506451
424	0.4105894679
425	0.410394464
426	0.4102304044
427	0.4100498043
428	0.4098681633
429	0.4097259669
430	0.4095500694
431	0.4093856776
432	0.4091583172
433	0.4090550711
434	0.4088380515
435	0.408629181
436	0.4084055629
437	0.4082055658
438	0.4080111421
439	0.4077296824
440	0.4075525114
441	0.4074202026
442	0.4072145738
443	0.4070826407
444	0.4069492235
445	0.406776172
446	0.4066492915
447	0.4065231971
448	0.4064252401
449	0.4062444864
450	0.4061217822
451	0.4059684384
452	0.4057352132
453	0.4055689968
454	0.4054659951
455	0.405144786
456	0.4049705443
457	0.4048213072
458	0.4046273521
459	0.4044754587
460	0.4043651609
461	0.404194189
462	0.4040774288
463	0.4039268676
464	0.4037583873
465	0.4036182433
466	0.4033912079
467	0.4032082666
468	0.4030354749
469	0.402812786
470	0.4026559136
471	0.4025605602
472	0.4023201103
473	0.402140695
474	0.4020172142
475	0.4019247917
476	0.4017517775
477	0.4015899465
478	0.4014116692
479	0.4012964876
480	0.4011471312
481	0.4009951169
482	0.4008880343
483	0.400748657
484	0.4005197578
485	0.4004394631
486	0.4002409284
487	0.4000247576
488	0.3998737236
489	0.3996991409
490	0.3995442219
491	0.3992755155
492	0.3991892239
493	0.3990184561
494	0.3988386377
495	0.3987241653
496	0.3985882416
497	0.3984481461
498	0.3983340283
499	0.3981923898
500	0.3980438719
501	0.3979232073
502	0.3977006416
503	0.397640765
504	0.3975152069
505	0.3973568355
506	0.397155785
507	0.3969344013
508	0.3968405754
509	0.3966924083
510	0.3966184854
511	0.3964840678
512	0.3961797366
513	0.3960527164
514	0.3959268771
515	0.3957725639
516	0.3956363738
517	0.3955142347
518	0.3954057718
519	0.3952009957
520	0.3950569692
521	0.394851453
522	0.3947268574
523	0.3946196091
524	0.3944751218
525	0.3943094803
526	0.3941582175
527	0.3939962529
528	0.3938229038
529	0.3936527828
530	0.3935167193
531	0.3933753125
532	0.3932004674
533	0.3930429436
534	0.3928677116
535	0.392732659
536	0.3925837966
537	0.3924144913
538	0.3923050118
539	0.3920838091
540	0.3919081405
541	0.3917715338
542	0.3916135352
543	0.3914249512
544	0.3912856679
545	0.391080228
546	0.3909006494
547	0.3907309572
548	0.3905510286
549	0.3904174928
550	0.3901988361
551	0.3899711295
552	0.3898456732
553	0.3896869643
554	0.3895300326
555	0.3893680552
556	0.3892350238
557	0.3891034411
558	0.3889527758
559	0.3888475991
560	0.3887265956
561	0.3885321136
562	0.388381669
563	0.388262816
564	0.3881593928
565	0.388033671
566	0.3879190578
567	0.3878322616
568	0.3877532165
569	0.3876039785
570	0.3874513672
571	0.3872194208
572	0.3871074996
573	0.3869972427
574	0.3868698777
575	0.3867544027
576	0.3866359624
577	0.3865071265
578	0.3864223274
579	0.3862403919
580	0.3861259953
581	0.3860021572
582	0.3858564488
583	0.3857077141
584	0.3856316861
585	0.3854732096
586	0.3853780336
587	0.3852929228
588	0.3852029876
589	0.3851136792
590	0.3850243266
591	0.384914231
592	0.384742437
593	0.3846666013
594	0.3845686044
595	0.3844295835
596	0.3843326017
597	0.3842325877
598	0.3841191532
599	0.3839724295
600	0.3838453963
601	0.383632551
602	0.3835149173
603	0.3834525693
604	0.3833569532
605	0.3832236461
606	0.3830878979
607	0.382953578
608	0.3828090423
609	0.3826665136
610	0.3825475745
611	0.3823651028
612	0.38221087
613	0.3820381377
614	0.3819334328
615	0.3818229409
616	0.3816740624
617	0.3815688195
618	0.3814217356
619	0.3812760438
620	0.3812095811
621	0.3811080517
622	0.3810034867
623	0.3809094314
624	0.3807846779
625	0.3807026927
626	0.3806323405
627	0.3805340935
628	0.3804401379
629	0.3803034901
630	0.3801934955
631	0.3801099635
632	0.3800017739
633	0.379843799
634	0.3797623925
635	0.379639366
636	0.3795329728
637	0.3793984905
638	0.3792991301
639	0.3791589559
640	0.3789949945
641	0.378909301
642	0.3788461663
643	0.3786902776
644	0.3785787433
645	0.3784444091
646	0.3782754135
647	0.378178181
648	0.3780802567
649	0.377945238
650	0.3778350296
651	0.3777120621
652	0.3775621836
653	0.3774780347
654	0.3773472822
655	0.3772726255
656	0.3771444427
657	0.3770330249
658	0.3769352914
659	0.3767538426
660	0.3764766994
661	0.3763598491
662	0.3762275453
663	0.3761447195
664	0.3760102641
665	0.3758539059
666	0.3757181893
667	0.3756270792
668	0.3754683606
669	0.3753735854
670	0.3752578937
671	0.3751393967
672	0.3749949581
673	0.3748839106
674	0.3748036294
675	0.3747355718
676	0.3746411078
677	0.3745682438
678	0.374445993
679	0.3743129001
680	0.3742355294
681	0.3741667349
682	0.3740925327
683	0.3739645832
684	0.3738915966
685	0.3737855243
686	0.3737016836
687	0.3735868177
688	0.3734726173
689	0.3732901855
690	0.3731804746
691	0.3731154656
692	0.373015656
693	0.3728968664
694	0.372756038
695	0.3726731666
696	0.3725638128
697	0.3724350826
698	0.3723369845
699	0.3721924086
700	0.3720842183
701	0.3719783346
702	0.3718859523
703	0.371807538
704	0.371717979
705	0.37158334
706	0.3714794169
707	0.3713437282
708	0.3712750481
709	0.3711084424
710	0.3709586517
711	0.3708930261
712	0.3707964087
713	0.3707103236
714	0.370605838
715	0.3704375762
716	0.3703404705
717	0.3702427885
718	0.370142384
719	0.3700492583
720	0.369892958
721	0.3696730462
722	0.3695389037
723	0.3693975587
724	0.3691682486
725	0.3690657124
726	0.3688958078
727	0.3687909339
728	0.36870996
729	0.3686167545
730	0.3685558147
731	0.3684976027
732	0.3683745478
733	0.3682483088
734	0.3681304721
735	0.3680572747
736	0.3680071585
737	0.3678860443
738	0.3677362137
739	0.3676365209
740	0.3674780757
741	0.3673197828
742	0.3672248985
743	0.3671243921
744	0.3669683312
745	0.3668128702
746	0.3667235659
747	0.3666010032
748	0.366437043
749	0.3663073152
750	0.3661959577
751	0.3661245813
752	0.3660527992
753	0.3659153918
754	0.3657815818
755	0.3656827648
756	0.3656008403
757	0.3655105323
758	0.3653698253
759	0.3652644066
760	0.3651546669
761	0.3650827409
762	0.3650043082
763	0.3648635244
764	0.3647082373
765	0.3645694126
766	0.3644658907
767	0.3644030308
768	0.364290857
769	0.3641889082
770	0.3640961376
771	0.364032994
772	0.3639339944
773	0.3637815076
774	0.363708351
775	0.3636285216
776	0.3634952514
777	0.3633941078
778	0.3633097899
779	0.3632251735
780	0.3631539826
781	0.3630183919
782	0.3629240331
783	0.3627157701
784	0.3626152731
785	0.3625290501
786	0.3624033467
787	0.3623069762
788	0.3621685608
789	0.3620567376
790	0.3618837835
791	0.3617982511
792	0.3617359683
793	0.361664779
794	0.3615632664
795	0.3615192964
796	0.361417312
797	0.3613065362
798	0.3612469206
799	0.3611102022
800	0.3610012183
801	0.3609765107
802	0.3609020451
803	0.3607951861
804	0.3606893371
805	0.3605961216
806	0.3604868333
807	0.3603678492
808	0.3602558792
809	0.3601090722
810	0.3599634895
811	0.3598655326
812	0.3597229182
813	0.3596484927
814	0.3595760058
815	0.3594901226
816	0.3593801368
817	0.3592835409
818	0.3591221523
819	0.3590203918
820	0.3589230808
821	0.3587911057
822	0.3586863305
823	0.358609145
824	0.3585565391
825	0.3584623024
826	0.3583351989
827	0.3582248476
828	0.3581434599
829	0.3580301625
830	0.3579285146
831	0.3578654685
832	0.3577840013
833	0.3577279308
834	0.3576668198
835	0.3575584272
836	0.3574275836
837	0.3573170867
838	0.357238591
839	0.3571699331
840	0.3570826074
841	0.3570069277
842	0.3569377764
843	0.3568215858
844	0.3566726873
845	0.3565622367
846	0.3564918102
847	0.3564622223
848	0.3563571985
849	0.3562713969
850	0.3561636891
851	0.3560950436
852	0.3560290167
853	0.3559498642
854	0.3558671933
855	0.355756309
856	0.3556890641
857	0.3555766758
858	0.3555435404
859	0.355446754
860	0.35537155
861	0.355301021
862	0.3551817417
863	0.3550759158
864	0.3549285194
865	0.3548867117
866	0.3547540873
867	0.354680534
868	0.3545777792
869	0.3545195314
870	0.3544199561
871	0.354335108
872	0.3542531077
873	0.3541557043
874	0.3540638888
875	0.3539881087
876	0.353896358
877	0.3538321407
878	0.3537509452
879	0.3535798087
880	0.3534720714
881	0.3534113138
882	0.3533478509
883	0.3532908892
884	0.3531941023
885	0.3529918166
886	0.3529096305
887	0.3528552546
888	0.3526707178
889	0.3526165521
890	0.3525310245
891	0.3523812273
892	0.3522824166
893	0.3522225368
894	0.3521464463
895	0.3520722892
896	0.3519816797
897	0.3518700442
898	0.3517775146
899	0.3516728104
900	0.3515620288
901	0.3514501492
902	0.3513850695
903	0.3513352692
904	0.3512293863
905	0.3511625798
906	0.3510709846
907	0.3510095718
908	0.3509585117
909	0.3508542221
910	0.3507498534
911	0.3506675717
912	0.350539839
913	0.3504534834
914	0.350373686
915	0.3502997041
916	0.350224213
917	0.350139205
918	0.3500538759
919	0.3499710004
920	0.3498731236
921	0.3498195807
922	0.3496374847
923	0.3495574438
924	0.349515339
925	0.3494348074
926	0.3492979967
927	0.3492348054
928	0.3491403773
929	0.3490674399
930	0.3490114437
931	0.3489736313
932	0.3488281856
933	0.3487323748
934	0.3486662304
935	0.348594064
936	0.3485275282
937	0.348482576
938	0.3484075068
939	0.3483342504
940	0.3482758503
941	0.3481593327
942	0.3480913933
943	0.3480273469
944	0.3479666033
945	0.3478906057
946	0.3478158151
947	0.3477297103
948	0.3476348249
949	0.3475540038
950	0.3474672678
951	0.3473307809
952	0.3472433006
953	0.3471948915
954	0.3470288976
955	0.3468900648
956	0.3467504134
957	0.3466375145
958	0.3465133539
959	0.3463708172
960	0.3462819155
961	0.3461867526
962	0.3460979426
963	0.3460182531
964	0.3459417716
965	0.3457889165
966	0.3457285507
967	0.3456691821
968	0.3455732032
969	0.3454788684
970	0.3453964221
971	0.3452814135
972	0.345216388
973	0.3451503056
974	0.3450060453
975	0.3449212698
976	0.3448688487
977	0.3447918932
978	0.3447271554
979	0.3446000058
980	0.3444775197
981	0.3444014807
982	0.3443129811
983	0.3442872072
984	0.3441862342
985	0.3441018662
986	0.3440253625
987	0.3439182511
988	0.3438826551
989	0.343802828
990	0.3437499512
991	0.3435974553
992	0.3435397994
993	0.343485258
994	0.3433978453
995	0.3432815545
996	0.343198131
997	0.3430988501
998	0.3430291552
999	0.3429485257
