iter	Passed	Remaining
486	678	714
487	679	712
488	681	711
489	682	710
490	684	709
491	685	707
492	686	706
493	687	704
494	689	703
495	690	701
496	691	699
497	692	698
498	694	697
499	696	696
500	698	695
501	700	694
502	701	692
503	702	691
504	703	690
505	705	688
506	706	686
507	707	685
508	708	683
509	710	682
510	711	681
511	713	679
512	714	678
513	716	677
514	717	675
515	718	673
516	719	672
517	720	670
518	722	669
519	723	667
520	724	666
521	726	664
522	727	663
523	729	662
524	730	660
525	731	659
526	732	657
527	734	656
528	735	654
529	737	654
530	739	652
531	740	651
532	742	650
533	743	649
534	745	647
535	746	646
536	747	644
537	748	643
538	750	641
539	751	640
540	752	638
541	754	637
542	755	635
543	757	635
544	759	633
545	760	632
546	761	631
547	763	629
548	764	627
549	765	626
550	766	624
551	767	623
552	768	621
553	769	619
554	771	618
555	773	617
556	774	616
557	775	614
558	777	613
559	778	611
560	779	609
561	780	608
562	781	606
563	782	605
564	784	603
565	785	602
566	788	602
567	790	600
568	791	599
569	792	598
570	793	596
571	795	594
572	796	593
573	797	591
574	798	590
575	799	588
576	800	587
577	802	585
578	803	584
579	805	583
580	806	581
581	808	580
582	809	578
583	810	577
584	811	575
585	812	574
586	813	572
587	815	571
588	816	569
589	817	568
590	818	566
591	820	565
592	821	563
593	822	562
594	823	560
595	825	559
596	826	557
597	827	556
598	828	554
599	830	553
600	831	551
601	832	550
602	833	549
603	835	547
604	837	546
605	838	545
606	839	543
607	841	542
608	842	540
609	843	539
610	844	537
611	845	536
612	847	534
613	848	533
614	849	532
615	851	530
616	852	529
617	853	527
618	854	526
619	855	524
620	856	522
621	858	521
622	859	520
623	860	518
624	861	517
625	862	515
626	864	514
627	865	512
628	867	511
629	868	510
630	869	508
631	871	507
632	872	505
633	873	504
634	874	502
635	875	501
636	877	499
637	878	498
638	880	497
639	881	496
640	883	494
641	884	493
642	885	491
643	886	490
644	887	488
645	889	487
646	890	485
647	891	484
648	892	482
649	893	481
650	895	480
651	897	478
652	898	477
653	899	476
654	900	474
655	902	473
656	903	471
657	904	470
658	905	468
659	907	467
660	908	465
661	909	464
662	910	463
663	912	461
664	913	460
665	915	458
666	916	457
667	917	456
668	918	454
669	920	453
670	921	451
671	922	450
672	924	449
673	926	448
674	928	447
675	930	445
676	931	444
677	932	442
678	933	441
679	935	440
680	936	438
681	937	437
682	938	435
683	939	434
684	941	432
685	942	431
686	944	430
687	945	428
688	946	427
689	948	425
690	949	424
691	950	423
692	952	421
693	953	420
694	954	419
695	956	417
696	958	416
697	959	415
698	960	413
699	961	412
700	963	410
701	964	409
702	965	407
703	966	406
704	967	405
705	969	403
706	970	402
707	972	401
708	973	399
709	974	398
710	975	396
711	977	395
712	978	393
713	979	392
714	980	390
715	981	389
716	982	387
717	984	386
718	985	385
719	986	383
720	988	382
721	989	380
722	990	379
723	991	378
724	992	376
725	994	375
726	995	373
727	996	372
728	997	370
729	998	369
730	1000	368
731	1001	366
732	1003	365
733	1004	363
734	1005	362
735	1006	361
736	1007	359
737	1009	358
738	1010	356
739	1011	355
740	1012	353
741	1013	352
742	1015	351
743	1016	349
744	1017	348
745	1019	346
746	1020	345
747	1021	344
748	1023	342
749	1024	341
750	1025	340
751	1027	338
752	1028	337
753	1029	335
754	1030	334
755	1032	333
756	1033	331
757	1034	330
758	1036	329
759	1038	327
760	1039	326
761	1040	324
762	1041	323
763	1043	322
764	1044	320
765	1045	319
766	1047	318
767	1048	316
768	1049	315
769	1051	314
770	1053	312
771	1055	311
772	1056	310
773	1058	309
774	1060	307
775	1061	306
776	1063	305
777	1064	303
778	1066	302
779	1067	301
780	1069	299
781	1070	298
782	1071	297
783	1072	295
784	1074	294
785	1075	292
786	1076	291
787	1078	290
788	1079	288
789	1081	287
790	1082	286
791	1084	284
792	1085	283
793	1086	281
794	1087	280
795	1089	279
796	1090	277
797	1091	276
798	1093	274
799	1094	273
800	1096	272
801	1098	271
802	1099	269
803	1101	268
804	1102	267
805	1103	265
806	1105	264
807	1106	262
808	1108	261
809	1111	260
810	1112	259
811	1114	258
812	1115	256
813	1117	255
814	1118	253
815	1120	252
816	1121	251
817	1123	249
818	1125	248
819	1126	247
820	1128	246
821	1129	244
822	1132	243
823	1135	242
824	1138	241
825	1143	240
826	1145	239
827	1148	238
828	1155	238
829	1172	240
830	1183	240
831	1192	240
832	1203	241
833	1211	241
834	1219	240
835	1226	240
836	1230	239
837	1232	238
838	1237	237
839	1243	236
840	1246	235
841	1249	234
842	1251	233
843	1254	231
844	1255	230
845	1257	228
846	1258	227
847	1259	225
848	1261	224
849	1262	222
850	1265	221
851	1268	220
852	1270	218
853	1272	217
854	1283	217
855	1286	216
856	1287	214
857	1290	213
858	1292	212
859	1293	210
860	1295	209
861	1296	207
862	1298	206
863	1300	204
864	1302	203
865	1304	201
866	1305	200
867	1307	198
868	1308	197
869	1310	195
870	1311	194
871	1313	192
872	1314	191
873	1315	189
874	1316	188
875	1318	186
876	1319	185
877	1320	183
878	1322	181
879	1323	180
880	1325	179
881	1326	177
882	1328	175
883	1329	174
884	1331	172
885	1332	171
886	1333	169
887	1335	168
888	1336	166
889	1337	165
890	1338	163
891	1340	162
892	1341	160
893	1342	159
894	1343	157
895	1345	156
896	1346	154
897	1347	153
898	1349	151
899	1350	150
900	1351	148
901	1352	146
902	1353	145
903	1355	143
904	1356	142
905	1357	140
906	1358	139
907	1359	137
908	1360	136
909	1362	134
910	1363	133
911	1364	131
912	1365	130
913	1366	128
914	1368	127
915	1369	125
916	1370	124
917	1371	122
918	1372	121
919	1374	119
920	1375	117
921	1376	116
922	1378	114
923	1379	113
924	1381	111
925	1382	110
926	1383	108
927	1384	107
928	1385	105
929	1386	104
930	1388	102
931	1389	101
932	1390	99
933	1392	98
934	1393	96
935	1394	95
936	1396	93
937	1397	92
938	1398	90
939	1399	89
940	1400	87
941	1402	86
942	1404	84
943	1405	83
944	1407	81
945	1408	80
946	1409	78
947	1411	77
948	1412	75
949	1413	74
950	1414	72
951	1415	71
952	1417	69
953	1419	68
954	1420	66
955	1421	65
956	1423	63
957	1424	62
958	1425	60
959	1426	59
960	1428	57
961	1429	56
962	1430	54
963	1431	53
964	1432	51
965	1434	50
966	1435	48
967	1436	47
968	1438	46
969	1439	44
970	1440	43
971	1441	41
972	1442	40
973	1443	38
974	1445	37
975	1446	35
976	1447	34
977	1448	32
978	1449	31
979	1451	29
980	1452	28
981	1453	26
982	1455	25
983	1456	23
984	1457	22
985	1458	20
986	1459	19
987	1461	17
988	1462	16
989	1463	14
990	1464	13
991	1466	11
992	1467	10
993	1468	8
994	1470	7
995	1471	5
996	1472	4
997	1473	2
998	1475	1
999	1476	0
